Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href
1962.00.00.b,,1962,Unprovoked,INDONESIA,East Flores,Waewerang,,,,FATAL,Y,,,"Djakarta Daily Mail, 7/20/1962",http://sharkattackfile.net/spreadsheets/pdf_directory/1962.00.00.b-Indonesia.pdf
1962.00.00.a,,1962,Unprovoked,AUSTRALIA,South Australia,Dangerous Reef,Diving,M,,Right leg bitten,N,,,"F. Dennis, p.76",http://sharkattackfile.net/spreadsheets/pdf_directory/1962.00.00.a-Argyll.pdf
1961.12.28.c,1961-12-28,1961,Unprovoked,AUSTRALIA,Queensland,"Lambert's Beach, Mackay",Standing,F,18,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Y,16h15,3 m [10'] shark,"V.M. Coppleson (1962), p.246; A. MacCormick, pp.19-21; A. Sharpe, p.101 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.28.c-Hobbs.pdf
1961.12.28.b,1961-12-28,1961,Unprovoked,AUSTRALIA,Queensland,"Lamberts Beach, Mackay",Standing,M,24,"Hand bitten, surgically amputated",N,16h15,3 m [10'] shark,"V.M. Coppleson (1962), p.246; A. MacCormick, pp.19-21; A. Sharpe, p.101",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.28.b-Steffens.pdf
1961.12.28.a,1961-12-28,1961,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,,M,18,Lower right leg & ankle bitten,N,16h50,Zambesi shark,"D.  Davies, pp.113-114; D. Davies & J. D'Aubrey; T. McDonnell, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.28.a-Wessels.pdf
1961.12.27,1961-12-27,1961,Provoked,AUSTRALIA,Western Australia,"North of main swimming area in Waterman's Bay Beach, Perth",Fishing,M,23,"No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",N,07h00,"Grey nurse shark, 2.4 m [8'] ","The West Australia, 12/28/1961 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.27-Parker.pdf
1961.12.19,1961-12-19,1961,Provoked,AUSTRALIA,South Australia,Cowell,Fishing,,,No injury to occupant; shark leapt into boat,N,,2.7 m [9'] shark,"Adelaide Advertiser, 12/20/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.19-NV-boat-Stocker.pdf
1961.12.18.b,1961-12-18,1961,Unprovoked,MOZAMBIQUE,Gaza,Praia Sepulveda,,M,20,His left leg was severely bitten,N,16h00,,Dr. C. d.  Nacimento,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.18.b-Correia.pdf
1961.12.18.a,1961-12-18,1961,Unprovoked,AUSTRALIA,Queensland,Noosa Heads,Surfing,M,22,"FATAL, right wrist and hand bitten, left leg severed above knee ",Y,06h15,Next morning a 3 m [10'] shark was caught that had Andrews' leg in its gut,"Natal Daily News, 12/19/1961; Sydney Morning Herald, 12/20/1961; V.M. Coppleson (1962), p.246; H.D. Baldridge, p.172; A. Sharpe, pp.100-101",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.18.a-Andrews.pdf
1961.12.13,1961-12-13,1961,Unprovoked,AUSTRALIA,Torres Strait,"Horn Island, near Thursday Island",Swimming,M,17,Right thigh and leg lacerated,N,14h00,1.8 m [6'] shark,"Brisbane Courier Mail, 12/14/1961; V.M. Coppleson (1962), p.246",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.12.13-Stevens.pdf
1961.11.14,1961-11-14,1961,Provoked,MEXICO,Guerrrero,Northwest of Acapulco,,,,"Bodies of  hurricane victims bitten by shoals of sharks, post mortem scavenging",,,Shark involvement prior to death was not confirmed,"Sydney Daily Telegraph, 11/19/1961; SAF Case #1018",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.11.14-Hurricane.pdf
1961.10.27,1961-10-17,1961,Unprovoked,PHILIPPINES,Western Luzon Island,Manila Bay,,M,,Right leg severed,N,,,"Newcastle Morning Herald, 10/28/1961 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.10.27-FilipinoFisherman.pdf
1961.10.09,1961-10-09,1961,Provoked,USA,Florida,"Ocean Ridge, Boca Raton, Palm Beach County",Swimming,M,45,"Skeletonized, but shark involvement may have occurred after death.",,,Shark involvement prior to death was not confirmed,"H.D. Baldridge, p.162",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.10.09-Haen.pdf
1961.10.00.b,1961-10-01,1961,Provoked,VANUATU,Shefa Province, Lelepa Island,Paddling,M,,"No injury to occupant, canoe  bitten & overturned by shark",N,,Two shark's teeth recovered from canoe,"Pacific Islands Monthly, October 1961 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.10.00.b-Vanuatu.pdf
1961.10.00.a,1961-10-01,1961,Unprovoked,USA,Florida,"Boca Raton, Palm Beach County",,M,45,"FATAL. His body washed ashore, presumed shark attack",Y,,,"V.M. Coppleson (1962), p.249",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.10.00.a-Horn.pdf
1961.09.26,1961-09-26,1961,Provoked,USA,Florida,"Florida Keys, Monroe County",,M,16,Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,N,16h30,,H.D.Baldridge (1994) SAF Case #923,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.09.26-NV-PaulWalter.pdf
1961.09.24.b,1961-09-24,1961,Unprovoked,CROATIA,Primorje-Gorski Kotar County ,"Opatija, northwestern coast of Rijeka Bay",Swimming,M,19,"FATAL, hand severed & legs bitten  ",Y,Early afternoon,White shark,"The Mid-Ocean News, 9/28/1961; H.D. Baldridge, p.15; A. De Maddalena & C. Moore, GSAF;; Anon. (1961), Giudici & Fino (1989), Fergusson (1996)",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.09.24.b-Plana.pdf
1961.09.24.a,1961-09-24,1961,Provoked,TANZANIA,,Near entrance to Dar-es-Salaam Harbour,Fishing,M,42,PROVOKED INCIDENT Right hand severed by hooked shark,N,07h00,,Mombasa Times 9/25/1961,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.09.24.a-YusefMohamed.pdf
1961.09.23,1961-09-23,1961,Unprovoked,MID ATLANTIC OCEAN,165  miles from Bermuda,,,M,22,Right shoulder blade  & back lacerated,N,06h00,"Oceanic whitetip shar,; identified by Dr. W.C. Schoeder on photograph & Dr. L.P. L. Schultz on sketch by observer","E.L.de Wilton; V.M. Coppleson (1962), p.246; H.D. Baldridge, p.102",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.09.23-Imhof.pdf
1961.09.07,1961-09-07,1961,Unprovoked,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,Khark Island,Diving,M,,"3"" cut on sole of foot",N,10h30,1.5 m to 1.8 m  [5' to 6'] shark,"Underseas, Ltd (London)",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.09.07-Padden.pdf
1961.09.02.R,1961-09-06,1961,Provoked,ITALY,Venice Province, Chioggia,Fishing,M,35,Left foot & right hand bitten by netted shark PROVOKED INCIDENT,N,,1 m shark,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.09.06.R-Chioggia.pdf
1961.09.06,1961-09-06,1961,Provoked,AUSTRALIA,Western Australia,Broome,,,,Shark involvement prior to death unconfirmed,,,Shark involvement prior to death was not confirmed,"Canberra Times, 9/8/1962",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.09.06-Sailor.pdf
1961.08.20,1961-08-20,1961,Unprovoked,USA,California,"Portuguese Beach at mouth of Salmon Creek, Sonoma County",Swimming,M,16,"Foot, leg  & groin lacerated",N,09h30 / 15h30,"White shark, 4 m [13'] ","L.A. Times, 8/21/1961; D. Miller & R. Collier; R. Collier, p.33; V.M. Coppleson (1962), p.249; H.D. Baldridge, p.72",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.08.20-Vogensen_Collier.pdf
1961.08.16,1961-08-16,1961,Unprovoked,USA,South Carolina,"Pawleys Island, Georgetown County",Wading,M,19,"Right arm bitten. Left leg bitten, surgically amputated ",N,08h00,White shark,C.O. Adams,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.08.16-Bailey.pdf
1961.08.04,1961-08-04,1961,Unprovoked,BERMUDA,,6 miles from shore,Fishing,M,22,Right hand lacerated,N,11h00,"Blacktip shark, 1.8 m to 2.1 m [6' to 7'] ","R. McAllister; H.D. Baldridge, p.134",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.08.04-Sato.pdf
1961.08.02,1961-08-02,1961,Unprovoked,USA,Hawaii,"Pearl Harbor Channel, O'ahu",Fishing,M,38,Hand bitten,N,17h30,2.4 m [8'] shark,"K. Kato; V.M. Coppleson (1962), p.246",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.08.02-Kato.pdf
1961.08.01,1961-08-01,1961,Provoked,PAPUA NEW GUINEA,Sandaun Province,Vanimo  on Musu side of Wutong anchorage,Fishing,M,,Thigh lacerated PROVOKED INCIDENT,N,,,"A.M. Rapson, p.147",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.08.01-Vanimo.pdf
1961.07.29,1961-07-29,1961,Provoked,USA,New York,Whitewood Point on Lloyd Neck in Oyster Bay,Fishing,M,57,Puncture wound on right shin & fingers lacerated by speared shark PROVOKED INCIDENT,N,14h30,"43"" shark",B. Junker,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.07.29-Junker.pdf
1961.07.16,1961-07-16,1971,Unprovoked,TURKEY,Anatolia,"?nciralti Beach, ?zmir ",Swimming,M,16,Left leg injured,N,,,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.07.16-Turkey.pdf
1961.07.07.b,1961-07-07,1961,Provoked,AUSTRALIA,Queensland,Cape Moreton,Fishing,,,"No injury to occupant, hooked shark bit boat's rudder PROVOKED INCIDENT",N,,"White shark, 5.2 m [17'], 2500-lb ","Brisbane Courier-Mail, 7/10/1961; SAF Case #894",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.07.07.b-boat-Fulham.pdf
1961.07.00.b,1961-07-01,1961,Unprovoked,ITALY,Adriatic Sea,Riccione,Fishing,M,21,Foot bitten,N,14h00,"White shark, 4.5 m ","M. Gregor; H.D. Baldridge, p.135; A. De Maddalena; Ellis (1973), Fergusson (1996), Mojetta et al. (1997)",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.07.00.b-Gregor.pdf
1961.07.00.a,1961-07-01,1961,Provoked,PANAMA,,"Jarque, just south of Pi?as Bay",Fishing,M,10,"FATAL, hooked shark pulled him into the water PROVOKED INCIDENT",Y,,,"J. Hardie, D. DeSylva",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.07.00.a-youngboy.pdf
1961.06.24,1961-06-24,1961,Unprovoked,USA,Florida,"500 yards from Fowey Rock Light, 9 miles east of Key Biscayne, Miami",Diving,M,23,"FATAL, arm severed & left side of torso removed ",Y,09h30,,"D. McGee, J. Quillian, W. M. Stephens; V.M. Coppleson (1962), p.249; H.D. Baldridge, p.183",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.06.24-Dandridge.pdf
1961.06.18,1961-06-18,1961,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Standing,M,25,Lacerations to left leg,N,Afternoon,,"News Tribune, 6/20/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.06.18-Hawkins.pdf
1961.06.06.R,1961-06-06,1961,Provoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Fishing,M,,"No injury to diver or occupants of the boat, shark butted boat ",N,,Hammerhead shark,"Florida Times-Union, 6/6/1961 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.06.06.R-W.E.-Davidson.pdf
1961.06.02,1961-06-02,1961,Unprovoked,NEW BRITAIN,East New Britain Province,Rabaul,Fishing,M,,Minor injuries to arm,N,,,"A.M. Rapson, p.150",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.06.02-Rabaul.pdf
1961.06.01,1961-06-01,1961,Provoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Rossun, Manus",Fishing,M,19,"Left thigh severely bitten, but he regained  the canoe, then shark bit canoe PROVOKED INCIDENT",N,,2.7 m [9']shark,"J. McDonough; A. M. Rapson, p.147; Papua and New Guinea Agricultural Journal;",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.06.01-Marik-Pokas.pdf
1961.05.21,1961-05-21,1961,Unprovoked,USA,California,"Tomales Point, Marin County",Diving,M,20,"No injury, wetsuit bitten",N,08h00 / 09h30,White shark,"D. Miller & R. Collier; R. Collier, pp.32-33 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.05.21-Orr_Collier.pdf
1961.05.17,1961-05-17,1961,Unprovoked,NEW BRITAIN,East New Britain Province,Kokopo,,M,,Thumb & 2 fingers severed,N,,,"A.M. Rapson, p. 150]",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.05.17-Kokopo.pdf
1961.05.15,1961-05-15,1961,Unprovoked,USA,Florida,"Laguna Beach, Bay County",Walking,M,52,Middle finger of left hand & right forearm lacerated,N,11h30,"Hammerhead shark, 500-llb ","G.L. Morris; Post Herald (Birmingham, Alabama) 5/18/1961; V.M. Coppleson (1962), p.249",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.05.15-Morris.pdf
1961.05.07,1961-05-07,1961,Provoked,AUSTRALIA,Western Australia,"Quinns Rocks, south of Yanchep",Fishing,M,,"No injury, speared shark hit speargun PROVOKED INCIDENT",N,,,"The West Australian (Perth), 5/8/1961 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.05.07-Arbuckle.pdf
1961.04.30,1961-04-30,1961,Provoked,USA,Florida,Palm Beach County,,M,10,Abdomen abraded,,15h00,Shark involvement not confirmed,H.D.Baldridge (1994) SAF Case #942,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.30-NV-Brewster.pdf
1961.04.25,1961-04-25,1961,Provoked,AUSTRALIA,New South Wales,"Trial Bay, north of Kempsey",Fishing,M,,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,12h00,"Wobbegong shark, 1.4 m [4'6""] ","Kempsey Macleay Argus (N.S.W.), 4/27/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.25-Davy-Pierpoint.pdf
1961.04.21,1961-04-21,1961,Unprovoked,MOZAMBIQUE,Gaza,"Sepulveda Beach, Xai Xai",Swimming,M,37,"Multiple injuries to both hands, left leg & foot",N,10h00,Zambesi shark,"D. Davies, pp.125-126; M. Levine,GSAF; Star, 4/23/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.21-Dewar.pdf
1961.04.17,1961-04-17,1961,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth Oceanarium,Diving,M,,Shark bit swimfin after diver kicked shark PROVOKED INCIDENT,N,,"2 m  ""yellow belly"" captive shark. Shark destroyed by aquarium staff next day","G. Ross, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.17-Harvey.pdf
1961.04.16.b,1961-04-16,1961,Unprovoked,USA,Florida,"Fowey Rock Light, Miami",Fishing,M,22,Thigh bitten,N,,"Tiger shark, 3 m [10']","W. M. Stephens; H.D. Baldridge, p.166; Clark, p.102 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.16.b-Ericson.pdf
1961.04.16.a,1961-04-16,1961,Provoked,AUSTRALIA,New South Wales,Otford,Fishing,M,21,Speared shark bit his foot  PROVOKED INCIDENT,N,,"Wobbegong shark, O. barbatus,  1.8 m [6'], identified by G.P. Whitley","Sydney Morning Herald, 4/17/1961; G. P. Whitley; Perth Daily News, 4/19/1961;  V.M. Coppleson (1962), p.252; H.D. Baldridge, p.165",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.16.a-Spooner.pdf
1961.04.14,1961-04-14,1961,Unprovoked,AUSTRALIA,New South Wales,10 miles off Nambucca Heads  onboard trawler,,M,40,Tiny cuts & bruises on neck  ,N,Night," ""gummy"" shark (Rhizoprionodon or Loxodon) 1.2 m [4']","G. P. Whiltley citing Sydney Morning Herald, 4/15/1961 & 4/17/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.14-Davis.pdf
1961.04.09,1961-04-09,1961,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,38,"FATAL, extensive abdominal wounds, died 4 days later  ",Y,11h00,Zambesi shark,"D. Davies, p.125; Star, 4/14/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.09-Zimila.pdf
1961.04.08,1961-04-08,1961,Unprovoked,PERSIAN GULF,United Arab Emirates,Dubai,,,,Some of the survivors said to have been bitten by sharks,Y,,,"V.M. Coppleson (1962), p.260",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.08-DaraDisaster.pdf
1961.04.03,1961-04-03,1961,Unprovoked,AUSTRALIA,Victoria,Flinders Island,Fishing,M,24,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",N,,"Grey nurse shark, 2,7 m [9'], 200-lb ","Sydney Morning Herald, 4/4/1961 ; Launceston Examiner; H.D. Baldridge, pp.133-134",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.03-Prosch.pdf
1961.04.00,1961-04-01,1961,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Fishing,M,,Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT,N,,"Wobbegong shark, 1.4 m [4.6'] ","Perth Daily News, 4/19/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.04.00-Greaves.pdf
1961.03.30,1961-03-30,1961,Unprovoked,AUSTRALIA,South Australia,Glenelg Breakwater,Fishing,M,24,"Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him",N,,"Bronze whaler shark, 2.4 m [8'] Identified by Clyde Buttery","G.P. Whitley citing Sydney Morning Herald, 4/1/1961; V.M. Coppleson (1962), p.252 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.30-Buttery.pdf
1961.03.18,1961-03-18,1961,Unprovoked,AUSTRALIA,Victoria,Lady Beach at Warrnambool,Swimming,M,24,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",N,Late afternoon,3 m [10'] shark,"Sun Herald (Sydney) 3/19/1961; Sydney Morning Herald, 3/20/1961; V.M. Coppleson (1962), p.246",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.18-Smith.pdf
1961.03.14,1961-03-14,1961,Provoked,AUSTRALIA,Western Australia,Shark Bay,Fishing,F,,Hooked shark hauled on board bit her foot PROVOKED INCIDENT,N,,,"Sydney Daily Telegraph, no date; L. Schultz & M. Malin, p.548",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.14-O'Neill.pdf
1961.03.12,1961-03-12,1961,Unprovoked,AUSTRALIA,South Australia,Aldinga Beach,Fishing,M,21,Left leg bitten  & left forearm lacerated,N,14h30,"White shark, 3.7 m [12'] ","V.M. Coppleson (1962), pp.182 & 252; H. Edwards, pp.61-63; H.D. Baldridge, p.56; J. West, ASAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.12-Rodger.pdf
1961.03.09,1961-03-09,1961,Unprovoked,NORTH PACIFIC OCEAN,Wake Island (EnenKio),"Leeward side of island, directly in back of Mid-Pac barrel storage area",Diving,M,33,Right elbow bitten,N,15h30,"Grey reef shark, 1.8 m [6'] grey reef shark, identified by Dr. L.P. L. Schultz based on photographs; identified as C. melanopterus by Stewart","J.K. Stewart; Albert Tester; V.M. Coppleson (1962), p.254; H.D. Baldridge, p.207",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.09-Stewart.pdf
1961.03.07,1961-03-07,1961,Provoked,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,Fishing,M,44,Landed shark in boat bit his left leg  PROVOKED INCIDENT,N,,"Zambesi shark, 4'9""","GSAF; D. Davies, pp.112-113",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.07-Rickert.pdf
1961.03.00,1961-03-01,1961,Unprovoked,FIJI,"19S, 178?E","Wotua Beach, 70 miles from Suva",Floating,M,,Right forearm bitten,N,11h00,,A. Bailey,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.03.00-Bailey.pdf
1961.02.17.b,1961-02-17,1961,Provoked,USA,Pennsylvania,"Fairmount Park Aquarium, Philadelphia",,M,30,Thumb lacerated by captive shark PROVOKED INCIDENT,N,,,"The Bee, 2/18/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.17.b-Peterson.pdf
1961.02.17.a,1961-02-17,1961,Unprovoked,AUSTRALIA,Victoria,Mount Martha Beach,Standing,F,,"Ankle bitten by small gummy shark, minor injury",N,18h00,"2' ""banjo shark""","Morning Peninsular Post (Victoria, Australia), 2/22/1961; V.M. Coppleson (1962), p.246",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.17.a-Fox.pdf
1961.02.16,1961-02-16,1961,Unprovoked,JAMAICA,,,,M,,FATAL,Y,,,"E. C. Raney; V.M. Coppleson (1962), p.247 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.16-BritishSailor.pdf
1961.02.12,1961-02-12,1961,Unprovoked,SOUTH AFRICA,Western Cape Province,Sea Point,Fishing,M,27,Torso bruised & abraded ,N,Late afternoon,1.5 m [5'] shark,"C.D. Benzoin, M. Levine, GSAF; J. D'Aubrey, ORI",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.12-Benzoin.pdf
1961.02.01.b,1961-02-01,1961,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,14,"FATAL, multiple injuries to both legs, feet & left arm  ",Y,14h50,"2.1 m [7'], 90-kg shark","D. Davies & J. D'Aubrey;  D. Davies, pp.122-124; M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.01.b-Zimmerman.pdf
1961.02.01.a,1961-02-01,1961,Unprovoked,AUSTRALIA,Western Australia,Carnac Island,,M,,No injury,N,,"Grey nurse shark, 2.7 m [9'] ","H.D. Baldridge, p.134",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.01.a-McWhinney.pdf
1961.02.00,1961-02-01,1961,Provoked,USA,California,"Topanga Canyon Beach, Santa Monica Bay",,M,,Considered a doubtful incident,,,Questionable incident,"R. Collier, G.. Helfman",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.02.00-Friedman.pdf
1961.01.25,1961-01-25,1961,Provoked,SOUTH AFRICA,Western Cape Province,Frikkies Bay,Fishing,,,"No injury to occupants, shark took a gaffed fish they were bringing aboard & hit their boat",N,,4.6 m [15'] shark,"Cape Times, 1/27/1961; SAF Case #945",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.25-Groenwald-boat.pdf
1961.01.22,1961-01-22,1961,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,M,15,Left thigh bitten ,N,14h20,White shark,"M. Murphy, M. Levine, GSAF; A.C. Copley; G. D. Campbell;  D. Davies, pp.111-112",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.22-Murphy.pdf
1961.01.15,1961-01-15,1961,Provoked,AUSTRALIA,New South Wales,Cook Island,,M,27,Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT,N,Morning,"Wobbegong shark, 1.5 m [5'] ","Mackay Daily Mercury (Queensland), 1/16/196; H.D. Baldridge, p.134",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.15-Webb.pdf
1961.01.06.c,1961-01-06,1961,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Standing,M,13,"Right foot, leg and hand bitten",N,19h35,"White shark, based on bite pattern","GSAF;  D. Davies & J. D'Aubrey; D. Davies, pp.109-111",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.06.c-Land.pdf
1961.01.06.b,1961-01-06,1961,Unprovoked,ATLANTIC OCEAN,9.35N 79.35W,"East of La Grande Island, North of Panama Canal",,,,"3 were lost, 3 survived",Y,,,"C.R. Wolf, M.D.",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.06.b-PacificSeafarer.pdf
1961.01.06.a,1961-01-06,1961,Provoked,AUSTRALIA,Northern Territory,"Stokes Hill Wharf, Darwin",Fishing,M,,Finger bitten by hooked shark PROVOKED INCIDENT,N,,"Hammerhead shark, 1.8 m [6'] ","Darwin Northern Territory News, 1/10/1961",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.06.a-Hopkins.pdf
1961.01.05,1961-01-05,1961,Unprovoked,MOZAMBIQUE,Limpopo River,190 km to 240 km from the sea,Swimming,M,,Leg bitten ,N,16h00,Six Zambesi sharks seen to 1.5 m [5'] in length,"D. Davies, p.124-125",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.05-AfricanChild.pdf
1961.01.03.b,1961-01-03,1961,Unprovoked,SOUTH AFRICA,Western Cape Province,Strandfontein,Standing,M,27,"Lower left leg bitten, abrasions on back of right leg",N,15h30,,"Cape Times, 1/4/1961, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.03.b-Hendricks.pdf
1961.01.03.a,1961-01-03,1961,Provoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,,,,Human remains (patella & remnants of black swim suit) found in 147-kg raggedtooth shark,,,Shark involvement prior to death was not confirmed,"D. Davies; M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.03.a-Remains-in-raggie.pdf
1961.01.02.R,1961-01-02,1961,Provoked,AUSTRALIA,Tasmania,Off Tasman Island,,,,"No injury to occupants, shark struck boat",N,,,C. Black. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.02.R-SoutherlyBuster.pdf
1961.00.00.e,1961-01-01,1961,Provoked,AUSTRALIA,New South Wales,South coast,Fishing,,,"No injury to occupant, shark took hooked fish then bit stern of boat",N,,,"Brisbane Courier Mail, 12/30/1961 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.e-Mackerel-fishing.pdf
1961.01.01,1961-01-01,1961,Unprovoked,COLUMBIA,Roncador Bank,"Roncador Bank, 135 nm north of San Andres ",Swimming,M,,Leg bitten,N,,1.8 m [6'] shark,V.M. Coppleson (1962) p.246,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.01.01-Chaney.pdf
1961.00.00.d,1961-01-01,1961,Unprovoked,NEW CALEDONIA,,,Fishing,,,Arm injured,N,,,SAF Case #1109,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.d-NV-NewCaledonia.pdf
1961.00.00.b,1961-01-01,1961,Unprovoked,SENEGAL,Cap Vert Peninsula,Thiaroye Guedi,Diving,M,20,FATAL,Y,,> 3 m shark,S.Trape,http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.b-Senegal.pdf
1961.00.00.a,1961-01-01,1961,Unprovoked,USA,Hawaii,Maui,,,,3 of the 4 passengers killed by sharks,Y,,,"F. Dennis, p.20",http://sharkattackfile.net/spreadsheets/pdf_directory/1961.00.00.a-aircraft.pdf
1960.12.27.b,1960-12-27,1960,Unprovoked,USA,Hawaii,"Maile Point, O'ahu",Fishing,M,,"FATAL  Shark seen attacking Riley, body recovered off Nanakuli",Y,,,"L. Taylor (1993), pp.100-101",http://sharkattackfile.net/spreadsheets/pdf_directory/1960.12.27.b-Riley.pdf
